iter	Passed	Remaining
0	61	61896
1	62	31207
2	62	20898
3	63	15751
4	63	12671
5	64	10619
6	64	9150
7	65	8067
8	65	7217
9	66	6536
10	66	5964
11	66	5489
12	67	5087
13	67	4743
14	67	4444
15	68	4186
16	68	3961
17	68	3758
18	69	3579
19	69	3414
20	69	3262
21	70	3132
22	70	3013
23	71	2899
24	71	2792
25	72	2697
26	72	2614
27	72	2531
28	73	2457
29	73	2385
30	74	2317
31	74	2254
32	74	2196
33	75	2147
34	76	2096
35	76	2044
36	76	1998
37	77	1952
38	77	1912
39	78	1872
40	78	1837
41	78	1800
42	79	1767
43	79	1736
44	80	1707
45	80	1676
46	81	1645
47	81	1619
48	82	1591
49	82	1564
50	82	1538
51	82	1513
52	83	1490
53	83	1467
54	84	1444
55	84	1421
56	84	1401
57	85	1381
58	85	1361
59	85	1343
60	86	1326
61	86	1309
62	86	1292
63	87	1276
64	87	1260
65	88	1246
66	88	1233
67	89	1220
68	89	1207
69	89	1195
70	90	1183
71	90	1172
72	91	1160
73	91	1147
74	92	1135
75	92	1123
76	92	1112
77	93	1101
78	93	1090
79	93	1078
80	94	1068
81	94	1057
82	94	1044
83	94	1034
84	95	1025
85	95	1016
86	95	1007
87	96	998
88	96	989
89	96	980
90	97	972
91	97	964
92	98	956
93	98	948
94	98	940
95	99	932
96	99	925
97	99	918
98	100	911
99	100	904
100	100	898
101	101	890
102	101	883
103	101	878
104	103	879
105	103	873
106	103	867
107	104	860
108	104	855
109	105	849
110	105	844
111	105	839
112	106	834
113	106	829
114	107	824
115	107	818
116	107	812
117	108	807
118	108	802
119	108	797
120	109	792
121	109	786
122	109	782
123	110	777
124	110	773
125	110	768
126	111	763
127	111	759
128	111	756
129	112	751
130	112	747
131	113	743
132	113	739
133	113	735
134	114	730
135	114	727
136	114	723
137	115	720
138	115	717
139	116	713
140	116	709
141	116	705
142	117	701
143	117	698
144	117	694
145	118	690
146	118	687
147	118	684
148	119	680
149	119	678
150	120	675
151	120	673
152	121	670
153	121	666
154	121	663
155	122	660
156	122	657
157	122	654
158	123	651
159	123	648
160	123	644
161	124	641
162	124	638
163	124	635
164	125	632
165	125	629
166	125	626
167	126	624
168	126	622
169	126	619
170	127	617
171	128	616
172	128	613
173	128	611
174	129	608
175	129	605
176	129	603
177	130	600
178	130	598
179	130	595
180	131	593
181	131	590
182	131	588
183	132	586
184	132	583
185	132	581
186	133	579
187	133	576
188	134	575
189	134	573
190	134	570
191	135	569
192	135	567
193	136	565
194	136	562
195	136	560
196	137	559
197	137	556
198	137	554
199	138	552
200	138	551
201	139	549
202	139	547
203	139	545
204	140	543
205	140	540
206	140	538
207	141	537
208	141	534
209	141	532
210	141	530
211	142	528
212	142	526
213	142	524
214	143	522
215	143	520
216	143	518
217	144	516
218	144	514
219	144	512
220	144	510
221	145	508
222	145	507
223	145	505
224	146	503
225	146	501
226	146	499
227	147	497
228	147	495
229	147	494
230	148	492
231	148	490
232	148	489
233	148	487
234	149	485
235	149	484
236	149	482
237	150	480
238	150	479
239	150	477
240	151	475
241	151	474
242	151	472
243	151	470
244	152	470
245	153	469
246	153	467
247	153	466
248	154	464
249	154	463
250	154	461
251	155	460
252	155	458
253	155	457
254	156	456
255	156	454
256	156	453
257	157	451
258	157	450
259	157	448
260	158	447
261	158	445
262	158	444
263	158	442
264	159	441
265	159	439
266	159	438
267	160	437
268	160	435
269	160	434
270	160	432
271	161	431
272	161	430
273	161	428
274	162	427
275	162	425
276	162	424
277	162	423
278	163	422
279	163	420
280	163	419
281	164	418
282	164	416
283	164	415
284	165	414
285	165	412
286	165	411
287	166	410
288	166	409
289	166	407
290	166	406
291	167	405
292	167	403
293	167	402
294	168	401
295	168	400
296	168	399
297	169	398
298	169	396
299	169	395
300	169	394
301	170	393
302	170	392
303	170	391
304	171	389
305	171	388
306	171	387
307	172	386
308	172	385
309	172	384
310	172	382
311	173	382
312	173	381
313	174	380
314	174	379
315	174	378
316	175	377
317	175	376
318	175	375
319	175	373
320	176	372
321	176	371
322	176	370
323	177	369
324	177	368
325	177	367
326	178	366
327	178	365
328	178	364
329	179	363
330	179	362
331	179	361
332	180	360
333	180	359
334	180	358
335	181	357
336	181	357
337	181	356
338	182	355
339	182	354
340	182	353
341	183	352
342	183	351
343	183	350
344	183	349
345	184	348
346	184	347
347	184	346
348	185	345
349	185	344
350	185	343
351	186	342
352	186	341
353	186	340
354	187	339
355	187	339
356	187	338
357	187	337
358	188	336
359	188	335
360	189	334
361	189	333
362	190	333
363	190	333
364	191	332
365	191	331
366	191	330
367	192	329
368	192	328
369	192	327
370	192	327
371	193	326
372	193	325
373	194	324
374	194	323
375	194	322
376	194	322
377	195	321
378	195	320
379	195	319
380	196	318
381	196	317
382	196	316
383	196	315
384	197	315
385	197	314
386	197	313
387	198	312
388	198	311
389	198	310
390	199	310
391	199	309
392	199	308
393	200	308
394	200	307
395	201	306
396	201	305
397	201	305
398	202	304
399	202	303
400	202	302
401	203	302
402	203	301
403	203	300
404	203	299
405	204	298
406	204	297
407	204	297
408	205	296
409	205	295
410	205	294
411	205	293
412	206	293
413	206	292
414	206	291
415	207	290
416	207	289
417	207	289
418	207	288
419	208	287
420	208	286
421	208	285
422	209	285
423	209	284
424	209	283
425	209	282
426	210	282
427	210	281
428	210	280
429	211	279
430	211	279
431	211	278
432	212	277
433	212	276
434	212	276
435	212	275
436	213	274
437	213	274
438	213	273
439	214	272
440	214	272
441	214	271
442	215	270
443	215	269
444	215	269
445	215	268
446	216	267
447	216	266
448	216	266
449	217	265
450	217	264
451	217	264
452	218	263
453	218	262
454	218	262
455	219	261
456	219	260
457	219	260
458	220	259
459	220	258
460	220	257
461	220	257
462	221	256
463	221	255
464	221	255
465	221	254
466	222	253
467	222	253
468	223	252
469	223	252
470	223	251
471	224	250
472	224	250
473	224	249
474	225	248
475	225	247
476	225	247
477	225	246
478	226	246
479	226	245
480	226	244
481	227	243
482	227	243
483	227	242
484	227	242
485	228	241
486	228	240
487	228	240
488	229	239
489	229	238
490	229	238
491	230	237
492	230	236
493	230	236
494	230	235
495	231	234
496	231	234
497	232	233
498	232	233
499	232	232
500	233	232
501	233	231
502	233	231
503	234	230
504	234	229
505	234	229
506	234	228
507	235	227
508	235	227
509	235	226
510	236	225
511	236	225
512	236	224
513	237	224
514	237	223
515	237	222
516	237	222
517	238	221
518	238	221
519	238	220
520	239	219
521	239	219
522	239	218
523	239	218
524	240	217
525	240	216
526	240	216
527	241	215
528	241	214
529	241	214
530	242	213
531	242	213
532	242	212
533	243	212
534	243	211
535	243	211
536	244	210
537	244	209
538	244	209
539	244	208
540	245	208
541	245	207
542	245	206
543	246	206
544	246	205
545	246	205
546	246	204
547	247	203
548	247	203
549	247	202
550	248	202
551	248	201
552	248	200
553	248	200
554	249	199
555	249	199
556	249	198
557	249	198
558	250	197
559	250	196
560	250	196
561	251	195
562	251	195
563	251	194
564	252	194
565	252	193
566	252	192
567	252	192
568	253	191
569	253	191
570	253	190
571	254	190
572	254	189
573	254	189
574	254	188
575	255	187
576	255	187
577	255	186
578	256	186
579	256	185
580	256	185
581	257	184
582	257	184
583	257	183
584	258	183
585	258	182
586	258	181
587	258	181
588	259	180
589	259	180
590	259	179
591	260	179
592	260	178
593	260	178
594	261	177
595	261	177
596	261	176
597	262	176
598	262	175
599	262	175
600	262	174
601	263	174
602	263	173
603	263	172
604	264	172
605	264	171
606	264	171
607	265	170
608	265	170
609	265	169
610	265	169
611	266	168
612	266	168
613	266	167
614	266	167
615	267	166
616	267	166
617	267	165
618	268	165
619	268	164
620	268	164
621	268	163
622	269	162
623	269	162
624	269	161
625	270	161
626	270	160
627	270	160
628	270	159
629	271	159
630	271	158
631	271	158
632	272	157
633	272	157
634	272	156
635	272	156
636	273	155
637	273	155
638	273	154
639	274	154
640	274	153
641	274	153
642	275	152
643	275	152
644	275	151
645	276	151
646	276	150
647	276	150
648	277	149
649	277	149
650	277	148
651	277	148
652	278	147
653	278	147
654	278	146
655	279	146
656	279	145
657	279	145
658	279	144
659	280	144
660	280	143
661	280	143
662	281	142
663	281	142
664	281	141
665	281	141
666	282	140
667	282	140
668	283	140
669	283	139
670	283	139
671	283	138
672	284	138
673	284	137
674	284	137
675	284	136
676	285	136
677	285	135
678	285	135
679	286	134
680	286	134
681	286	133
682	286	133
683	287	132
684	287	132
685	287	131
686	288	131
687	288	130
688	288	130
689	288	129
690	289	129
691	289	128
692	289	128
693	290	127
694	290	127
695	290	126
696	291	126
697	291	126
698	291	125
699	291	125
700	292	124
701	292	124
702	292	123
703	293	123
704	293	122
705	293	122
706	293	121
707	294	121
708	294	120
709	294	120
710	295	119
711	295	119
712	295	119
713	296	118
714	296	118
715	296	117
716	297	117
717	297	116
718	298	116
719	298	116
720	298	115
721	299	115
722	299	114
723	299	114
724	299	113
725	300	113
726	300	112
727	300	112
728	301	111
729	301	111
730	301	111
731	301	110
732	302	110
733	302	109
734	303	109
735	303	108
736	303	108
737	304	107
738	304	107
739	304	107
740	305	106
741	305	106
742	305	105
743	305	105
744	306	104
745	306	104
746	306	103
747	307	103
748	307	103
749	307	102
750	308	102
751	308	101
752	308	101
753	308	100
754	309	100
755	309	99
756	309	99
757	310	98
758	310	98
759	310	98
760	310	97
761	311	97
762	311	96
763	311	96
764	312	95
765	312	95
766	312	94
767	312	94
768	313	94
769	313	93
770	313	93
771	314	92
772	314	92
773	314	91
774	315	91
775	315	91
776	315	90
777	315	90
778	316	89
779	316	89
780	316	88
781	317	88
782	317	87
783	317	87
784	317	87
785	318	86
786	318	86
787	318	85
788	319	85
789	319	84
790	319	84
791	319	84
792	320	83
793	320	83
794	320	82
795	321	82
796	321	81
797	321	81
798	322	81
799	322	80
800	322	80
801	322	79
802	323	79
803	323	78
804	323	78
805	324	78
806	324	77
807	324	77
808	325	76
809	325	76
810	325	75
811	326	75
812	326	75
813	327	74
814	327	74
815	327	73
816	328	73
817	328	73
818	328	72
819	329	72
820	329	71
821	329	71
822	330	71
823	330	70
824	331	70
825	331	69
826	331	69
827	332	69
828	332	68
829	332	68
830	333	67
831	333	67
832	334	66
833	334	66
834	334	66
835	335	65
836	335	65
837	335	64
838	335	64
839	336	64
840	336	63
841	337	63
842	337	62
843	338	62
844	338	62
845	338	61
846	339	61
847	339	60
848	339	60
849	340	60
850	340	59
851	340	59
852	341	58
853	341	58
854	341	57
855	342	57
856	342	57
857	342	56
858	343	56
859	343	55
860	343	55
861	343	55
862	344	54
863	344	54
864	344	53
865	345	53
866	345	52
867	345	52
868	345	52
869	346	51
870	346	51
871	346	50
872	347	50
873	347	50
874	347	49
875	348	49
876	348	48
877	348	48
878	348	48
879	349	47
880	349	47
881	349	46
882	350	46
883	350	45
884	350	45
885	351	45
886	351	44
887	351	44
888	352	43
889	352	43
890	352	43
891	353	42
892	353	42
893	353	41
894	354	41
895	354	41
896	354	40
897	355	40
898	355	39
899	355	39
900	356	39
901	356	38
902	356	38
